Book	Chapter	Verse	Text	Index	Version
The Epistle of Paul the Apostle to the Colossians	1	1	Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	2	To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ.	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	3	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	4	Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	5	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	6	Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	7	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	8	Who also declared unto us your love in the Spirit.	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	9	For this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	10	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	11	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	12	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	13	Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:	1	KJV
The Epistle of Paul the Apostle to the Colossians	1	14	In whom we have redemption through his blood, even the forgiveness of sins:	1	KJV
