The Gospel According to Saint Matthew	1:1	The book of the generation of Jesus Christ, the son of David, th
The Gospel According to Saint Matthew	1:2	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Juda
The Gospel According to Saint Matthew	1:10	And Ezekias begat Manasses; and Manasses begat Amon; and Amo
The Gospel According to Saint Matthew	1:17	So all the generations from Abraham to David are fourtee
The Gospel According to Saint Matthew	1:18	Now the birth of Jesus Christ was on this wise: When as hi
The Gospel According to Saint Matthew	1:19	Then Joseph her husband, being a just man, and not willing t
The Gospel According to Saint Matthew	1:20	But while he thought on these things, behold, the angel of th
The Gospel According to Saint Matthew	1:21	And she shall bring forth a son, and thou shalt call his nam
The Gospel According to Saint Matthew	1:22	Now all this was done, that it might be fulfilled which wa
The Gospel According to Saint Matthew	1:24	Then Joseph being raised from sleep did as the angel of the Lor
The Gospel According to Saint Matthew	2:1	Now when Jesus was born in Bethlehem of Judaea in the days o
The Gospel According to Saint Matthew	2:3	When Herod the king had heard these things, he was troubled, an
The Gospel According to Saint Matthew	2:4	And when he had gathered all the chief priests and scribes of th
The Gospel According to Saint Matthew	2:5	And they said unto him, In Bethlehem of Judaea: for thus it i
The Gospel According to Saint Matthew	2:7	Then Herod, when he had privily called the wise men, enquired o
The Gospel According to Saint Matthew	2:8	And he sent them to Bethlehem, and said, Go and search diligentl
The Gospel According to Saint Matthew	2:9	When they had heard the king, they departed; and, lo, the star
The Gospel According to Saint Matthew	2:10	When they saw the star, they rejoiced with exceeding great joy
The Gospel According to Saint Matthew	2:11	And when they were come into the house, they saw the young chil
The Gospel According to Saint Matthew	2:12	And being warned of God in a dream that they should not return t
The Gospel According to Saint Matthew	2:13	And when they were departed, behold, the angel of the Lor
The Gospel According to Saint Matthew	2:14	When he arose, he took the young child and his mother by night
The Gospel According to Saint Matthew	2:16	Then Herod, when he saw that he was mocked of the wise men, wa
The Gospel According to Saint Matthew	2:17	Then was fulfilled that which was spoken by Jeremy the prophet
The Gospel According to Saint Matthew	2:19	But when Herod was dead, behold, an angel of the Lord appearet
The Gospel According to Saint Matthew	2:21	And he arose, and took the young child and his mother, and cam
The Gospel According to Saint Matthew	2:22	But when he heard that Archelaus did reign in Judaea in the roo
The Gospel According to Saint Matthew	3:1	In those days came John the Baptist, preaching in the wildernes
The Gospel According to Saint Matthew	3:3	For this is he that was spoken of by the prophet Esaias, saying
The Gospel According to Saint Matthew	3:4	And the same John had his raiment of camel’s hair, and a leather
The Gospel According to Saint Matthew	3:5	Then went out to him Jerusalem, and all Judaea, and all the regio
The Gospel According to Saint Matthew	3:7	But when he saw many of the Pharisees and Sadducees come to hi
The Gospel According to Saint Matthew	3:10	And now also the axe is laid unto the root of the trees
The Gospel According to Saint Matthew	3:11	I indeed baptize you with water unto repentance. but he tha
The Gospel According to Saint Matthew	3:13	Then cometh Jesus from Galilee to Jordan unto John, to b
The Gospel According to Saint Matthew	3:14	But John forbad him, saying, I have need to be baptized of thee
The Gospel According to Saint Matthew	3:16	And Jesus, when he was baptized, went up straightway out of th
The Gospel According to Saint Matthew	4:1	Then was Jesus led up of the spirit into the wilderness to b
The Gospel According to Saint Matthew	4:2	And when he had fasted forty days and forty nights, he wa
The Gospel According to Saint Matthew	4:3	And when the tempter came to him, he said, If thou be the Son o
The Gospel According to Saint Matthew	4:4	But he answered and said, It is written, Man shall not live b
The Gospel According to Saint Matthew	4:5	Then the devil taketh him up into the holy city, and setteth hi
The Gospel According to Saint Matthew	4:7	Jesus said unto him, It is written again, Thou shalt not tempt th
The Gospel According to Saint Matthew	4:8	Again, the devil taketh him up into an exceeding high mountain
The Gospel According to Saint Matthew	4:9	And saith unto him, All these things will I give thee, if tho
The Gospel According to Saint Matthew	4:10	Then saith Jesus unto him, Get thee hence, Satan: for it i
The Gospel According to Saint Matthew	4:11	Then the devil leaveth him, and, behold, angels came an
The Gospel According to Saint Matthew	4:12	Now when Jesus had heard that John was cast into prison, h
The Gospel According to Saint Matthew	4:17	From that time Jesus began to preach, and to say, Repent: for th
The Gospel According to Saint Matthew	4:18	And Jesus, walking by the sea of Galilee, saw two brethren, Simo
The Gospel According to Saint Matthew	4:19	And he saith unto them, Follow me, and I will make you fishers o
The Gospel According to Saint Matthew	4:20	And they straightway left their nets, and followed him
The Gospel According to Saint Matthew	4:21	And going on from thence, he saw other two brethren, James th
The Gospel According to Saint Matthew	4:22	And they immediately left the ship and their father, and followe
The Gospel According to Saint Matthew	4:23	And Jesus went about all Galilee, teaching in their synagogues
The Gospel According to Saint Matthew	4:24	And his fame went throughout all Syria: and they brought unto hi
The Gospel According to Saint Matthew	4:25	And there followed him great multitudes of people from Galilee
The Gospel According to Saint Matthew	5:1	And seeing the multitudes, he went up into a mountain: and when h
The Gospel According to Saint Matthew	5:4	Blessed are they that mourn: for they shall be comforted
The Gospel According to Saint Matthew	5:5	Blessed are the meek: for they shall inherit the earth
The Gospel According to Saint Matthew	5:6	Blessed are they which do hunger and thirst after righteousness
The Gospel According to Saint Matthew	5:7	Blessed are the merciful: for they shall obtain mercy
The Gospel According to Saint Matthew	5:8	Blessed are the pure in heart: for they shall see God
