Book	Chapter	Verse	Text	Index	Version
Colossians	1	1	From Paul, an apostle of Christ Jesus, by the will of God, and from Timothy, also a follower of the Lord.	1	OEB
Colossians	1	2	To Christ’s people at Colossae – the followers who are faithful to him: May God, our Father, bless you and give you peace.	1	OEB
Colossians	1	3	Whenever we pray we never fail to thank God, the Father of our Lord Jesus Christ, for you,	1	OEB
Colossians	1	4	now that we have heard of your faith in Christ Jesus and of the love that you have for all his people,	1	OEB
Colossians	1	5	because of the hope which is kept safe for you in heaven. Of this hope you heard long ago in the true message of the good news which reached you,	1	OEB
Colossians	1	6	bearing fruit and growing, as it does, through all the world, just as it did among you from the very day that you heard of God’s loving kindness, and understood what that loving kindness really is.	1	OEB
Colossians	1	7	It is just what you learned from Epaphras, our dear fellow servant, who, as a minister of the Christ, faithfully represents us,	1	OEB
Colossians	1	8	and who told us of the love with which the Spirit has inspired you.	1	OEB
Colossians	1	9	And therefore we, from the very day that we heard this, have never ceased praying for you, or asking that you may be filled with the knowledge of the will of God, which comes through all true spiritual wisdom and insight.	1	OEB
Colossians	1	10	Then you will live lives worthy of the Master, and so please God in every way. Your lives will be fruitful in every kind of good action, and grow into a fuller knowledge of God;	1	OEB
Colossians	1	11	you will be made strong at all points with a strength worthy of the power manifested in his glory – strong to endure with patience, and even with gladness, whatever may happen to you;	1	OEB
Colossians	1	12	and you will give thanks to the Father who made you fit to share the lot which awaits Christ’s people in the realms of light.	1	OEB
Colossians	1	13	For God has rescued us from the tyranny of darkness, and has removed us into the kingdom of his Son, who is the embodiment of his love,	1	OEB
Colossians	1	14	and through whom we have found deliverance in the forgiveness of our sins.	1	OEB
Colossians	1	15	For Christ is the incarnation of the invisible God – firstborn and head of all creation;	1	OEB
Colossians	1	16	for in him was created all that is in heaven and on earth, the visible and the invisible – angels and archangels and all the powers of heaven.	1	OEB
Colossians	1	17	All has been created through him and for him. He was before all things, and all things unite in him;	1	OEB
Colossians	1	18	and he is the head of the church, which is his body. The firstborn from the dead, he is to the church the source of its life, that he, in all things, may stand first.	1	OEB
Colossians	1	19	For it pleased the Father that in him the divine nature in all its fulness should live,	1	OEB
Colossians	1	20	and through him to reconcile all things to himself (making peace by the shedding of Christ’s blood offered on the cross) – whether on earth or in heaven.	1	OEB
Colossians	1	21	And it pleased God that you, once estranged from him and hostile towards him in your thoughts, intent only on wickedness –	1	OEB
Colossians	1	22	but now he has reconciled you to himself by the sacrifice of Christ’s earthly body in death – it has pleased God that you should stand in his presence holy, pure, and blameless,	1	OEB
Colossians	1	23	if only you remain true to your faith, firm and immovable, never abandoning the hope held out in the good news to which you listened, which has been proclaimed among all created things under heaven, and of which I, Paul, was made an assistant.	1	OEB
Colossians	1	24	Now at last I can rejoice in my sufferings on your behalf, and in my own person I supplement the afflictions endured by the Christ, for the sake of his body, the church;	1	OEB
Colossians	1	25	of which I myself became a minister in virtue of the office with which God entrusted me for your benefit, to declare the message of God in all its fulness –	1	OEB
Colossians	1	26	that truth which has been hidden from former ages and generations. But now it has been revealed to God’s people,	1	OEB
Colossians	1	27	to whom it was his pleasure to make known the surpassing glory of that hidden truth when proclaimed among the Gentiles – ‘Christ among you! Your hope of glory!’	1	OEB
Colossians	1	28	This is the Christ whom we proclaim, warning everyone, and instructing everyone, with all the wisdom that we possess, in the hope of bringing everyone into God’s presence perfected by union with Christ.	1	OEB
Colossians	1	29	It is for that I toil, struggling with all the energy which he inspires and which works powerfully within me.	1	OEB
Colossians	2	1	I want you to know in how great a struggle I am engaged for you and for Christ’s people at Laodicea, and for all who have not yet seen me;	1	OEB
Colossians	2	2	in the hope that they, being bound to one another by love, and keeping in view the full blessedness of a firm conviction, may be encouraged to strive for a perfect knowledge of God’s hidden truth,	1	OEB
Colossians	2	3	even Christ himself, in whom all treasures of wisdom and knowledge lie hidden.	1	OEB
Colossians	2	4	I say this to prevent anyone from deceiving you by plausible arguments.	1	OEB
Colossians	2	5	It is true that I am not with you in person, but I am with you in spirit, and am glad to see the good order and the unbroken front resulting from your faith in Christ.	1	OEB
Colossians	2	6	Since, therefore, you have received Jesus, the Christ, as your Lord, live your lives in union with him –	1	OEB
Colossians	2	7	rooted in him, building up your characters through union with him, growing stronger through your faith, as you were taught, overflowing with faith and thanksgiving.	1	OEB
Colossians	2	8	Take care that there is not someone who will carry you away by his ‘philosophy’ – a hollow sham! – following, as it does, mere human traditions, and dealing with puerile questions of this world, and not with Christ.	1	OEB
Colossians	2	9	For in Christ the Godhead in all its fulness dwells incarnate;	1	OEB
