Ruth	so she,2.89;near relative,2.44;boaz said,2.32;naomi said,2.30;young men,2.23;she had,2.14;threshing floor,2.00;then boaz,1.90;two sons,1.73;lie down,1.72;sat down,1.72;then she,1.57;she said,1.48;drew off,1.41;empty handed,1.41;finished eating,1.41;six measures,1.41;whole town,1.41;bear sons,1.41;why should,1.41	mother in law,2.83;the threshing floor,2.00;may the lord,2.00;said to ruth,2.00;naomi said to,1.99;a near relative,1.73;daughter in law,1.73;the near relative,1.73;ruth the moabite,1.73;then boaz said,1.73;boaz said to,1.73;six measures of,1.41;eating and drinking,1.41;finished eating and,1.41;dead in connection,1.41;mahlon and chilion,1.41;who had charge,1.41;even if i,1.41;back my daughters,1.41;measures of barley,1.41	finished eating and drinking,1.41;six measures of barley,1.41;servant who had charge,1.41;even if i should,1.41;what she had gleaned,1.41;the near relative said,1.41;boaz said to ruth,1.41;naomi said to ruth,1.41;then boaz said to,1.41;hebrew “naomi means “pleasant,1.00;whether poor or rich,1.00;before anyone could recognize,1.00;bethlehem their arrival stirred,1.00;gather leftover grain behind,1.00;leftover grain behind anyone,1.00;make valid anything relating,1.00;perez whom tamar bore,1.00;empty handed “wait quietly,1.00;israel under whose wings,1.00;about ten years mahlon,1.0
Esther	king ahasuerus,4.35;queen esther,3.41;king’s gate,3.12;king said,3.12;mordecai had,2.62;esther had,2.46;thirteenth day,2.43;king’s provinces,2.37;signet ring,2.23;man whom,2.23;these days,2.23;royal palace,2.21;king’s command,2.20;king wishes,2.18;had been,2.17;jews had,2.02;ten sons,2.00;twelfth month,1.99;went out,1.99;fourteenth day,1.99	the king said,3.30;the king’s gate,3.16;of king ahasuerus,2.64;mordecai the jew,2.45;the king’s provinces,2.44;king said to,2.44;son of hammedatha,2.24;wishes to honor,2.24;month of adar,2.24;man whom the,2.24;the man whom,2.24;thirteenth day of,2.24;the thirteenth day,2.23;king wishes to,2.23;to queen esther,2.23;the king’s command,2.23;the king wishes,2.23;whom the king,2.23;before the king,2.22;then the king,2.22	king wishes to honor,2.24;whom the king wishes,2.24;man whom the king,2.24;they did not take,1.73;the king’s signet ring,1.73;king’s command and decree,1.73;said to queen esther,1.73;bow down nor prostrate,1.41;seventy five feet high,1.41;down nor prostrate himself,1.41;province – publicly displayed,1.41;gallows seventy five feet,1.41;– publicly displayed so,1.41;not bow down nor,1.41;did not bow down,1.41;every province – publicly,1.41;even if it takes,1.41;if it takes half,1.41;seven provinces from india,1.41;ring dispatches were sent,1.4
Psalms	o lord,8.38;o god,7.20;lord ’s,3.63;let them,3.45;give thanks,3.45;lift up,2.82;then they,2.65;them praise,2.47;take refuge,2.45;’s voice,2.44;do good,2.42;sing praise,2.41;they cried,2.40;upon them,2.37;new song,2.23;most high,2.23;day long,2.21;arise lord,2.11;god we,2.03;heart’s desire,2.00	you o lord,4.33;praise the lord,4.21;the lord ’s,3.73;give thanks to,3.46;those who fear,3.46;me o lord,3.14;lord our god,2.99;me o god,2.99;bless the lord,2.82;o lord my,2.79;let them praise,2.64;you o god,2.63;lord ’s voice,2.45;sing praise to,2.45;fear the lord,2.43;o lord i,2.40;lord my god,2.39;lord the lord,2.24;a new song,2.24;i take refuge,2.24	the lord ’s voice,2.45;let them praise the,2.24;then they cried to,2.00;why am i downcast,1.73;lord i take refuge,1.73;god o’er the heavens,1.73;o god be gracious,1.73;save me o god,1.73;lord is king let,1.73;listen o lord to,1.73;lord god of hosts,1.73;o lord for great,1.73;praise you o god,1.73;them praise the lord,1.73;did solemnly swear mine,1.41;learned their lesson sore,1.41;their lesson sore afraid,1.41;lesson sore afraid will,1.41;manasseh moab the pot,1.41;spirit is faint within,1.4
Hosea	ephraim –,1.96;she conceived,1.73;lord ’s,1.71;lord said,1.69;they turn,1.69;arrogance testifies,1.41;heb uncertain,1.41;even if,1.41;israel’s arrogance,1.41;’s message,1.41;am going,1.41;testifies against,1.41;so now,1.40;if they,1.39;against them,1.37;though they,1.36;them like,1.29;them ephraim,1.21;7 16,1.00;ask counsel,1.00	when she conceived,1.73;lord your god,1.73;the lord ’s,1.73;the lord said,1.73;israel’s arrogance testifies,1.41;arrogance testifies against,1.41;like an oven,1.41;lord ’s message,1.41;even if they,1.41;testifies against them,1.41;am going to,1.41;conceived and bore,1.41;i am going,1.41;she conceived and,1.41;like a lion,1.41;so i am,1.41;lord said to,1.41;them like a,1.41;built palaces rejoice,1.00;calf idol o,1.00	israel’s arrogance testifies against,1.41;arrogance testifies against them,1.41;she conceived and bore,1.41;the lord ’s message,1.41;most high^ 7 16,1.00;simple silly dove wherever,1.00;high^ 7 16 heb,1.00;merchant uses false scales,1.00;sleep around or marry,1.00;kings uzziah jotham ahaz,1.00;16 heb uncertain put,1.00;7 16 heb uncertain,1.00;around or marry another,1.00;brothers^ 13 15 or,1.00;calf idol o samaria,1.00;meadow^ 9 13 heb,1.00;perjuring themselves making agreements,1.00;saying speaking words perjuring,1.00;wine vat won’t feed,1.00;glory flies away even,1.0
Joel	before them,1.70;noisy multitudes,1.41;cut off,1.41;they run,1.40;awake drunkards,1.00;back again,1.00;bear fruit,1.00;became deeply,1.00;bestir yourselves,1.00;breasts priests,1.00;bride clad,1.00;cast lots,1.00;cattle bellow,1.00;congregation between,1.00;cutting locust,1.00;deeply concerned,1.00;dismayed farmers,1.00;doing something,1.00;drink offerings,1.00;elders recount,1.00	blow a horn,1.41;horn in zion,1.41;people of judah,1.41;among the nations,1.41;became deeply concerned,1.00;grains shrivel under,1.00;left awake drunkards,1.00;remain inhabited forever,1.00;swords bestir yourselves,1.00;bear fruit put,1.00;breasts priests sanctify,1.00;bring back again,1.00;elders recount it,1.00;like mighty men,1.00;northern foe fear,1.00;repaying any deed,1.00;rouse themselves put,1.00;run none jostles,1.00;sack cloth cut,1.00;turned dark whenever,1.00	hear this elders recount,1.00;pethuel hear this elders,1.00;grains shrivel under their,1.00;shrivel under their hoes,1.00;wild animals also look,1.00;cutting locust has left,1.00;has left awake drunkards,1.00;locust has left awake,1.00;enter into judgment with,1.00;into swords bestir yourselves,1.00;ploughshares into swords bestir,1.00;sack cloth cut off,1.00;blasted be dismayed farmers,1.00;mountains they leap peoples,1.00;fire devours their appearance,1.00;nations rouse themselves put,1.00;sickle noisy multitudes noisy,1.00;wall earth trembles before,1.00;brought my goodly jewels,1.00;laid waste my vines,1.0
Amos	lord god,3.32;lord says,3.15;says so,1.97;into exile,1.72;send fire,1.72;god showed,1.71;if they,1.71;lord said,1.54;plumb line,1.41;summer fruit,1.41;go into,1.40;coming says,1.40;people israel,1.38;lord relented,1.37;lord ’s,1.37;then they,1.37;god says,1.28;add ‘be,1.00;another member,1.00;answer ‘no’,1.00	the lord god,3.45;the lord says,3.30;says the lord,2.21;says so i,2.00;lord says so,2.00;said the lord,1.98;send fire on,1.73;god showed me,1.73;will send fire,1.73;lord god showed,1.73;lord said to,1.73;the lord said,1.71;a plumb line,1.41;go into exile,1.41;my people israel,1.41;send a fire,1.41;god of hosts,1.41;into exile the,1.41;then they will,1.41;coming says the,1.41	lord says so i,2.00;the lord says so,2.00;lord god showed me,1.73;the lord god showed,1.73;says the lord god,1.73;go into exile the,1.41;into exile the lord,1.41;coming says the lord,1.41;the lord god says,1.41;late spring grass began,1.00;beyond damascus sorrow awaits,1.00;transgress burn some leavened,1.00;answered amaziah “nor trained,1.00;share had been harvested,1.00;two or three cities,1.00;burn some leavened bread,1.00;funeral song fallen no,1.00;royal residence “i am,1.00;strong young men those,1.00;country cannot survive all,1.0
Obadiah	mount zion,1.38;mount esau,1.36;about edom,0.99;build high,0.99;crossroads near,0.99;drunk upon,0.99;eagle if,0.99;gloated over,0.99;holy mountain,0.99;if thieves,0.99;night descendents,0.99;proud heart,0.99;said about,0.99;small among,0.99;terror teman,0.99;thieves had,0.99;violence done,0.99;border they,0.99;come up,0.99;fire they,0.99	on mount zion,1.41;about edom i,1.00;by night descendents,1.00;eagle if thieves,1.00;filled with terror,1.00;heart has misled,1.00;holy mountain but,1.00;if thieves had,1.00;marauders by night,1.00;proud heart has,1.00;said about edom,1.00;terror teman because,1.00;with terror teman,1.00;a fire they,1.00;build high as,1.00;drunk upon my,1.00;my holy mountain,1.00;thieves had come,1.00;upon my holy,1.00;crossroads near at,1.00	eagle if thieves had,1.00;filled with terror teman,1.00;marauders by night descendents,1.00;proud heart has misled,1.00;said about edom i,1.00;drunk upon my holy,1.00;if thieves had come,1.00;upon my holy mountain,1.00;crossroads near at hand,1.00;lord said about edom,1.00;border they have driven,1.00;my people nor stood,1.00;thieves had come to,1.00;make you small among,1.00;though you build high,1.00;gloated over your relatives,1.00;nations your proud heart,1.00;lord ’s day for,1.00;negeb and mount esau,1.00;people nor stood at,1.0
Jonah	great city,1.71;let them,1.70;city nineveh,1.70;so they,1.67;replied “i,1.41;cast lots,1.41;dry land,1.41;“arise go,1.41;being angry,1.41;die than,1.41;doing right,1.41;we may,1.41;don’t let,1.41;sea grew,1.40;went down,1.40;jonah started,1.39;god arranged,1.38;lord arranged,1.36;lord came,1.36;up jonah,1.36	great city nineveh,1.73;into the sea,1.73;put on sackcloth,1.41;he replied “i,1.41;in being angry,1.41;right in being,1.41;don’t let us,1.41;sea grew more,1.41;we may not,1.41;doing right in,1.41;that we may,1.41;“are you doing,1.41;than to live,1.41;you doing right,1.41;“arise go to,1.41;the dry land,1.41;die than to,1.41;to die than,1.41;so that we,1.41;that great city,1.41	doing right in being,1.41;right in being angry,1.41;“are you doing right,1.41;die than to live,1.41;so that we may,1.41;that great city nineveh,1.41;great city nineveh and,1.41;lord came to jonah,1.41;eat nor drink water,1.00;life slipped away those,1.00;away those who worship,1.00;furious wind blow over,1.00;slipped away those who,1.00;those who worship worthless,1.00;who worship worthless idols,1.00;might die saying “it,1.00;nobles people beast herd,1.00;beat upon jonah’s head,1.00;second time “arise go,1.00;sun beat upon jonah’s,1.0
Micah	disbursed among,1.41;day says,1.40;lord ’s,1.38;day they,1.38;lord says,1.35;abandon israel,1.00;accusation “my,1.00;aloud haven’t,1.00;also said,1.00;arbitrate between,1.00;assuredly assemble,1.00;awake planning,1.00;bitter grief,1.00;bribe “therefore,1.00;city “can,1.00;contrary am,1.00;covet fields,1.00;did balak,1.00;don’t tell,1.00;field “all,1.00	be disbursed among,1.41;that day says,1.41;daughter of zion,1.41;disbursed among the,1.41;survivors of jacob,1.41;among the nations,1.41;day says the,1.41;day they will,1.41;the lord ’s,1.41;says the lord,1.41;the lord says,1.41;also said haters,1.00;an open field,1.00;bitter grief “bethlehem,1.00;gave us wonders,1.00;give parting gifts,1.00;happy homes rise,1.00;incurable don’t tell,1.00;lie awake planning,1.00;maroth wait anxiously,1.00	disbursed among the nations,1.41;day says the lord,1.41;an open field “all,1.00;must give parting gifts,1.00;egypt gave us wonders,1.00;field “all her images,1.00;hands know well how,1.00;open field “all her,1.00;vine each nation trusts,1.00;breaks out goes first,1.00;evil scales whose rich,1.00;lie awake planning evil,1.00;their happy homes rise,1.00;tread under foot our,1.00;urge ‘of such things,1.00;visions he saw about,1.00;who lie awake planning,1.00;bloodshed “the leaders render,1.00;now cry aloud haven’t,1.00;scales whose rich people,1.0
Nahum	am against,1.40;better than,1.00;bloody city,1.00;can stand,1.00;charging “because,1.00;chariots rush,1.00;city hear,1.00;command concerning,1.00;cubs “but,1.00;desolate devastated,1.00;dyed red,1.00;egypt yet,1.00;empty desolate,1.00;exiled “you,1.00;fig trees,1.00;first ripe,1.00;fling loathsome,1.00;foes “draw,1.00;horsemen charging,1.00;leader rallies,1.00	i am against,1.41;am against you,1.41;any better than,1.00;better than thebes,1.00;bloody city hear,1.00;chariots rush across,1.00;cubs “but see,1.00;desolate devastated where,1.00;dyed red chariots,1.00;egypt yet she,1.00;empty desolate devastated,1.00;exiled “you too,1.00;first ripe figs,1.00;fling loathsome filth,1.00;flood an end,1.00;given this command,1.00;horsemen charging “because,1.00;lion tore enough,1.00;loathsome filth at,1.00;makes why do,1.00	any better than thebes,1.00;better than thebes her,1.00;dyed red chariots rush,1.00;empty desolate devastated where,1.00;fling loathsome filth at,1.00;given this command concerning,1.00;red chariots rush across,1.00;rushing flood an end,1.00;than thebes her strength,1.00;whip horsemen charging “because,1.00;desolate devastated where now,1.00;egypt yet she was,1.00;end he makes why,1.00;he makes why do,1.00;she was exiled “you,1.00;yet she was exiled,1.00;cubs “but see i,1.00;weak as women before,1.00;and egypt yet she,1.00;ethiopia and egypt yet,1.0
