Book	Chapter	Verse	Text
Genesis	001	001	In the beginning God{After "God," the Hebrew has the two letters
Genesis	001	002	Now the earth was formless and empty.  Darkness was on the surface
Genesis	001	003	God said, "Let there be light," and there was light.
Genesis	001	004	God saw the light, and saw that it was good.  God divided
Genesis	001	005	God called the light Day, and the darkness he called Night.
Genesis	001	006	God said, "Let there be an expanse in the middle of the waters,
Genesis	001	007	God made the expanse, and divided the waters which were under
Genesis	001	008	God called the expanse sky.  There was evening and there
Genesis	001	009	God said, "Let the waters under the sky be gathered together
Genesis	001	010	God called the dry land Earth, and the gathering together
Genesis	001	011	God said, "Let the earth put forth grass, herbs yielding seed,
Genesis	001	012	The earth brought forth grass, herbs yielding seed after their kind,
Genesis	001	013	There was evening and there was morning, a third day.
Genesis	001	014	God said, "Let there be lights in the expanse of sky to
Genesis	001	015	and let them be for lights in the expanse of sky to give light
Genesis	001	016	God made the two great lights:  the greater light to rule
Genesis	001	017	God set them in the expanse of sky to give light to the earth,
Genesis	001	018	and to rule over the day and over the night, and to divide
Genesis	001	019	There was evening and there was morning, a fourth day.
Genesis	001	020	God said, "Let the waters swarm with swarms of living creatures,
Genesis	001	021	God created the large sea creatures, and every living
Genesis	001	022	God blessed them, saying, "Be fruitful, and multiply, and fill
Genesis	001	023	There was evening and there was morning, a fifth day.
Genesis	001	024	God said, "Let the earth bring forth living creatures after
Genesis	001	025	God made the animals of the earth after their kind,
Genesis	001	026	God said, "Let us make man in our image, after our likeness:
Genesis	001	027	God created man in his own image.  In God's image he created him;
Genesis	001	028	God blessed them.  God said to them, "Be fruitful, multiply,
Genesis	001	029	God said, "Behold, I have given you every herb yielding seed,
Genesis	001	030	To every animal of the earth, and to every bird of the sky,
Genesis	001	031	God saw everything that he had made, and, behold, it was very good.
Genesis	002	001	The heavens and the earth were finished, and all their vast array.
Genesis	002	002	On the seventh day God finished his work which he had made;
Genesis	002	003	God blessed the seventh day, and made it holy, because he rested
Genesis	002	004	This is the history of the generations of the heavens and of
Genesis	002	005	No plant of the field was yet in the earth, and no herb of
Genesis	002	006	but a mist went up from the earth, and watered the whole
Genesis	002	007	Yahweh God formed man from the dust of the ground,
Genesis	002	008	Yahweh God planted a garden eastward, in Eden, and there he put
Genesis	002	009	Out of the ground Yahweh God made every tree to grow that is
Genesis	002	010	A river went out of Eden to water the garden; and from there
Genesis	002	011	The name of the first is Pishon:  this is the one which flows
Genesis	002	012	and the gold of that land is good.  There is aromatic resin
Genesis	002	013	The name of the second river is Gihon:  the same river that flows
Genesis	002	014	The name of the third river is Hiddekel:  this is the one which
Genesis	002	015	Yahweh God took the man, and put him into the garden of Eden
Genesis	002	016	Yahweh God commanded the man, saying, "Of every tree of the garden
Genesis	002	017	but of the tree of the knowledge of good and evil, you shall
Genesis	002	018	Yahweh God said, "It is not good that the man should be alone;
Genesis	002	019	Out of the ground Yahweh God formed every animal of the field,
Genesis	002	020	The man gave names to all livestock, and to the birds of the sky,
Genesis	002	021	Yahweh God caused a deep sleep to fall on the man, and he slept;
Genesis	002	022	He made the rib, which Yahweh God had taken from the man,
Genesis	002	023	The man said, "This is now bone of my bones, and flesh of my flesh.
Genesis	002	024	Therefore a man will leave his father and his mother,
Genesis	002	025	They were both naked, the man and his wife, and were not ashamed.
Genesis	003	001	Now the serpent was more subtle than any animal of the field
Genesis	003	002	The woman said to the serpent, "Of the fruit of the trees
Genesis	003	003	but of the fruit of the tree which is in the middle of the garden,
Genesis	003	004	The serpent said to the woman, "You won't surely die,
Genesis	003	005	for God knows that in the day you eat it, your eyes will be opened,
Genesis	003	006	When the woman saw that the tree was good for food, and that it
Genesis	003	007	The eyes of both of them were opened, and they knew
Genesis	003	008	They heard the voice of Yahweh God walking in the garden in
Genesis	003	009	Yahweh God called to the man, and said to him, "Where are you?"
Genesis	003	010	The man said, "I heard your voice in the garden, and I was afraid,
Genesis	003	011	God said, "Who told you that you were naked?  Have you eaten
Genesis	003	012	The man said, "The woman whom you gave to be with me,
Genesis	003	013	Yahweh God said to the woman, "What is this you have done?"
Genesis	003	014	Yahweh God said to the serpent, "Because you have done this,
Genesis	003	015	I will put enmity between you and the woman, and between your
Genesis	003	016	To the woman he said, "I will greatly multiply your pain
Genesis	003	017	To Adam he said, "Because you have listened to your wife's voice,
Genesis	003	018	Thorns also and thistles will it bring forth to you;
Genesis	003	019	By the sweat of your face will you eat bread until you
Genesis	003	020	The man called his wife Eve, because she was the mother
Genesis	003	021	Yahweh God made coats of skins for Adam and for his wife,
Genesis	003	022	Yahweh God said, "Behold, the man has become like one of us,
Genesis	003	023	Therefore Yahweh God sent him forth from the garden of Eden,
Genesis	003	024	So he drove out the man; and he placed Cherubs at the east
Genesis	004	001	The man knew Eve his wife.  She conceived, and gave birth to Cain,
Genesis	004	002	Again she gave birth, to Cain's brother Abel.  Abel was a keeper
Genesis	004	003	As time passed, it happened that Cain brought an offering
Genesis	004	004	Abel also brought some of the firstborn of his flock and of
Genesis	004	005	but he didn't respect Cain and his offering.  Cain was very angry,
Genesis	004	006	Yahweh said to Cain, "Why are you angry?  Why has the expression
Genesis	004	007	If you do well, will it not be lifted up?  If you don't do well,
Genesis	004	008	Cain said to Abel, his brother, "Let's go into the field."
Genesis	004	009	Yahweh said to Cain, "Where is Abel, your brother?"
Genesis	004	010	Yahweh said, "What have you done?  The voice of your brother's
Genesis	004	011	Now you are cursed because of the ground, which has opened
Genesis	004	012	From now on, when you till the ground, it won't yield its
Genesis	004	013	Cain said to Yahweh, "My punishment is greater than I can bear.
Genesis	004	014	Behold, you have driven me out this day from the surface
Genesis	004	015	Yahweh said to him, "Therefore whoever slays Cain, vengeance will
Genesis	004	016	Cain went out from Yahweh's presence, and lived in the land
Genesis	004	017	Cain knew his wife.  She conceived, and gave birth to Enoch.
Genesis	004	018	To Enoch was born Irad.  Irad became the father of Mehujael.
Genesis	004	019	Lamech took two wives:  the name of the one was Adah,
Genesis	004	020	Adah gave birth to Jabal, who was the father of those who dwell
Genesis	004	021	His brother's name was Jubal, who was the father of all who
Genesis	004	022	Zillah also gave birth to Tubal Cain, the forger of every cutting
Genesis	004	023	Lamech said to his wives, "Adah and Zillah, hear my voice.
Genesis	004	024	If Cain will be avenged seven times, truly Lamech
Genesis	004	025	Adam knew his wife again.  She gave birth to a son, and named
Genesis	004	026	There was also born a son to Seth, and he named him Enosh.
Genesis	005	001	This is the book of the generations of Adam.  In the day
Genesis	005	002	He created them male and female, and blessed them, and called
Genesis	005	003	Adam lived one hundred thirty years, and became the father of a
Genesis	005	004	The days of Adam after he became the father of Seth were eight
Genesis	005	005	All the days that Adam lived were nine hundred thirty years,
Genesis	005	006	Seth lived one hundred five years, and became the father of Enosh.
Genesis	005	007	Seth lived after he became the father of Enosh eight hundred
Genesis	005	008	All the days of Seth were nine hundred twelve years,
Genesis	005	009	Enosh lived ninety years, and became the father of Kenan.
Genesis	005	010	Enosh lived after he became the father of Kenan, eight hundred
Genesis	005	011	All the days of Enosh were nine hundred five years, then he died.
Genesis	005	012	Kenan lived seventy years, and became the father of Mahalalel.
Genesis	005	013	Kenan lived after he became the father of Mahalalel eight hundred
Genesis	005	014	and all the days of Kenan were nine hundred ten years,
Genesis	005	015	Mahalalel lived sixty-five years, and became the father of Jared.
Genesis	005	016	Mahalalel lived after he became the father of Jared eight hundred
Genesis	005	017	All the days of Mahalalel were eight hundred ninety-five years,
Genesis	005	018	Jared lived one hundred sixty-two years, and became
Genesis	005	019	Jared lived after he became the father of Enoch eight hundred years,
Genesis	005	020	All the days of Jared were nine hundred sixty-two years,
Genesis	005	021	Enoch lived sixty-five years, and became the father of Methuselah.
Genesis	005	022	Enoch walked with God after he became the father of Methuselah
Genesis	005	023	All the days of Enoch were three hundred sixty-five years.
Genesis	005	024	Enoch walked with God, and he was not, for God took him.
Genesis	005	025	Methuselah lived one hundred eighty-seven years, and became
Genesis	005	026	Methuselah lived after he became the father of Lamech seven hundred
Genesis	005	027	All the days of Methuselah were nine hundred sixty-nine years,
Genesis	005	028	Lamech lived one hundred eighty-two years, and became the father
Genesis	005	029	and he named him Noah, saying, "This same will comfort us
Genesis	005	030	Lamech lived after he became the father of Noah five hundred
Genesis	005	031	All the days of Lamech were seven hundred seventy-seven years,
Genesis	005	032	Noah was five hundred years old, and Noah became the father
Genesis	006	001	It happened, when men began to multiply on the surface
Genesis	006	002	that God's sons saw that men's daughters were beautiful,
Genesis	006	003	Yahweh said, "My Spirit will not strive with man forever,
Genesis	006	004	The Nephilim were in the earth in those days, and also
Genesis	006	005	Yahweh saw that the wickedness of man was great in the earth,
Genesis	006	006	Yahweh was sorry that he had made man on the earth, and it
Genesis	006	007	Yahweh said, "I will destroy man whom I have created
Genesis	006	008	But Noah found favor in Yahweh's eyes.
Genesis	006	009	This is the history of the generations of Noah.  Noah was
Genesis	006	010	Noah became the father of three sons:  Shem, Ham, and Japheth.
Genesis	006	011	The earth was corrupt before God, and the earth was
Genesis	006	012	God saw the earth, and saw that it was corrupt, for all flesh
Genesis	006	013	God said to Noah, "The end of all flesh has come before me,
Genesis	006	014	Make a ship of gopher wood.  You shall make rooms in the ship,
Genesis	006	015	This is how you shall make it.  The length of the ship will
Genesis	006	016	You shall make a roof in the ship, and to a cubit shall you finish
Genesis	006	017	I, even I, do bring the flood of waters on this earth, to destroy
Genesis	006	018	But I will establish my covenant with you.  You shall come
Genesis	006	019	Of every living thing of all flesh, you shall bring two
Genesis	006	020	Of the birds after their kind, of the livestock after their kind,
Genesis	006	021	Take with you of all food that is eaten, and gather it to you;
Genesis	006	022	Thus Noah did.  According to all that God commanded him,
Genesis	007	001	Yahweh said to Noah, "Come with all of your household into
Genesis	007	002	You shall take seven pairs of every clean animal with you,
Genesis	007	003	Also of the birds of the sky, seven and seven, male and female,
Genesis	007	004	In seven days, I will cause it to rain on the earth for forty
Genesis	007	005	Noah did everything that Yahweh commanded him.
Genesis	007	006	Noah was six hundred years old when the flood of waters came
Genesis	007	007	Noah went into the ship with his sons, his wife, and his sons'
Genesis	007	008	Clean animals, animals that are not clean, birds, and everything
Genesis	007	009	went by pairs to Noah into the ship, male and female,
Genesis	007	010	It happened after the seven days, that the waters of the flood
Genesis	007	011	In the six hundredth year of Noah's life, in the second month,
Genesis	007	012	The rain was on the earth forty days and forty nights.
Genesis	007	013	In the same day Noah, and Shem, Ham, and Japheth, the sons of Noah,
Genesis	007	014	they, and every animal after its kind, all the livestock after
Genesis	007	015	They went to Noah into the ship, by pairs of all flesh with
Genesis	007	016	Those who went in, went in male and female of all flesh,
