Book	Chapter	Verse	Text	Index	Version
Colossians	4	23	The grace of the Lord Jesus Christ be with you all.  Amen.	1	WEB
Colossians	1	1	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother,	1	WEB
Colossians	1	2	to the saints and faithful brothers{The word for brothers here and where context allows may also be correctly translated brothers and sisters or siblings.} in Christ at Colossae:  Grace to you and peace from God our Father, and the Lord Jesus Christ.	1	WEB
Colossians	1	3	We give thanks to God the Father of our Lord Jesus Christ, praying always for you,	1	WEB
Colossians	1	4	having heard of your faith in Christ Jesus, and of the love which you have toward all the saints,	1	WEB
Colossians	1	5	because of the hope which is laid up for you in the heavens, of which you heard before in the word of the truth of the Good News,	1	WEB
Colossians	1	6	which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;	1	WEB
Colossians	1	7	even as you learned of Epaphras our beloved fellow servant, who is a faithful servant of Christ on our behalf,	1	WEB
Colossians	1	8	who also declared to us your love in the Spirit.	1	WEB
Colossians	1	9	For this cause, we also, since the day we heard this, don't cease praying and making requests for you, that you may be filled with the knowledge of his will in all spiritual wisdom and understanding,	1	WEB
Colossians	1	10	that you may walk worthily of the Lord, to please him in all respects, bearing fruit in every good work, and increasing in the knowledge of God;	1	WEB
Colossians	1	11	strengthened with all power, according to the might of his glory, for all endurance and perseverance with joy;	1	WEB
Colossians	1	12	giving thanks to the Father, who made us fit to be partakers of the inheritance of the saints in light;	1	WEB
Colossians	1	13	who delivered us out of the power of darkness, and translated us into the Kingdom of the Son of his love;	1	WEB
Colossians	1	14	in whom we have our redemption,{TR adds through his blood,} the forgiveness of our sins;	1	WEB
Colossians	1	15	who is the image of the invisible God, the firstborn of all creation.	1	WEB
Colossians	1	16	For by him all things were created, in the heavens and on the earth, things visible and things invisible, whether thrones or dominions or principalities or powers; all things have been created through him, and for him.	1	WEB
Colossians	1	17	He is before all things, and in him all things are held together.	1	WEB
