Book		
Genesis	god said,27;didn t,23;they said,22;don t,21;yahweh said,20;jacob said,19;yahweh god,16;lifted up,15;father s,14;joseph s,14	became the father,41;said to them,21;after he became,17;years and became,17;god said to,13;joseph said to,13;bore a son,12;yahweh said to,12;land of egypt,11;said to joseph,11	years after he became,8;lifted up his eyes,7;lived after he became,7;conceived again and bore,6;after these things that,5;happened after these things,5;it happened after these,5;pharaoh said to joseph,5;don t be afraid,4;five years and became,
Exodus	yahweh said,44;moses said,30;acacia wood,21;yahweh spoke,20;pure gold,17;moses saying,14;pharaoh s,14;they made,14;didn t,13;moses went,11	children of israel,57;said to moses,42;yahweh said to,41;spoke to moses,22;yahweh spoke to,20;of acacia wood,19;moses and aaron,18;moses said to,18;tent of meeting,16;father in law,14	yahweh said to moses,37;yahweh spoke to moses,20;spoke to moses saying,13;poles of acacia wood,8;altar of burnt offering,7;moses father in law,6;rams skins dyed red,5;two rings of gold,5;acacia wood and overlaid,4;children of israel saw,
Leviticus	yahweh spoke,33;moses saying,26;sin offering,24;meal offering,18;burnt offering,14;saying speak,14;before yahweh,13;peace offerings,12;aaron s,11;if anyone,10	spoke to moses,32;yahweh spoke to,32;children of israel,31;to moses saying,26;priest shall examine,19;the sin offering,17;if a man,16;then the priest,16;saying speak to,14;moses saying speak,13	yahweh spoke to moses,31;spoke to moses saying,26;moses saying speak to,13;to moses saying speak,13;sacrifice of peace offerings,9;children of israel saying,8;if a man lies,7;israel and tell them,5;if the priest examines,4;moses said to aaron,
Numbers	yahweh spoke,51;they traveled,47;one male,38;moses saying,37;sin offering,26;male goat,25;meal offering,21;yahweh said,19;before yahweh,18;burnt offering,17	children of israel,71;spoke to moses,51;yahweh spoke to,50;they traveled from,44;to moses saying,37;numbered of them,28;a sin offering,25;one male goat,25;male goat for,24;yahweh said to,18	yahweh spoke to moses,49;spoke to moses saying,37;one male goat for,24;sacrifice of peace offerings,14;yahweh said to moses,14;a year old one,12;bull one ram one,12;full of incense one,12;incense one young bull,12;lamb a year old,1
Deuteronomy	before yahweh,15;don t,15;didn t,11;yahweh said,11;go up,7;if there,7;may eat,7;take heed,7;we took,7;yahweh spoke,7	yahweh your god,118;before yahweh your,11;yahweh said to,11;yahweh our god,7;if a man,6;land which yahweh,6;observe to do,6;over the jordan,6;place which yahweh,6;take heed to,6	before yahweh your god,11;love yahweh your god,4;take heed to yourself,4;yahweh your god gives,4;deliver them up before,3;fear yahweh your god,3;forget yahweh your god,3;pass over the jordan,3;them up before you,3;and served other gods,
Joshua	joshua said,17;so joshua,12;hill country,11;went up,10;yahweh said,10;border went,9;went out,9;came out,8;lot came,8;didn t,7	one the king,29;children of israel,28;said to joshua,14;joshua said to,13;the hill country,10;children of reuben,9;yahweh said to,9;said to them,8;the border went,8;yahweh your god,8	yahweh said to joshua,9;lot came out for,7;its suburbs four cities,5;four cities out of,4;joshua said to them,4;suburbs four cities out,4;don t be afraid,3;half tribe of manasseh,3;said to joshua don,3;spoke to joshua saying,
Judges	didn t,15;they said,14;went up,13;yahweh said,13;went out,10;rose up,8;drive out,7;gideon said,7;judged israel,7;samson said,7	children of israel,38;said to them,15;angel of yahweh,14;children of benjamin,14;men of israel,14;yahweh said to,11;children of ammon,10;of yahweh came,7;zebah and zalmunna,7;against israel and,6	children of israel cried,5;israel cried to yahweh,5;spirit of yahweh came,5;children of israel again,4;didn t drive out,4;drive out the inhabitants,4;israel again did that,4;kindled against israel and,4;of israel again did,4;t drive out the,
Ruth	she said,7;don t,4;naomi said,4;near kinsman,4;then said,4;said boaz,3;she went,3;then she,3;boaz said,2;kinsman said,2	became the father,4;mother in law,4;ruth the moabitess,4;daughter in law,3;naomi said to,3;the near kinsman,3;then said boaz,3;after the reapers,2;again my daughters,2;boaz said to,2	mother in law said,2;reapers then said boaz,2;ruth the moabitess said,2;set over the reapers,2;the near kinsman said,2;the reapers then said,2;then said boaz to,2;turn again my daughters,2;a name saying there,1;a near kinsman however,
1 Samuel	saul said,32;david said,24;samuel said,22;then said,21;don t,15;didn t,13;saul s,11;went out,10;david s,9;said saul,9	david said to,20;saul said to,17;samuel said to,13;men of israel,11;said to david,11;said to samuel,11;said to saul,10;god of israel,8;ark of god,6;arose and went,6	samuel said to saul,5;then said saul to,5;yahweh said to samuel,5;david said to saul,4;don t be afraid,4;had made an end,4;saul sent messengers to,4;david inquired of yahweh,3;david said to achish,3;jonathan said to david,
2 Samuel	king said,27;david said,24;then said,15;king david,12;don t,11;david s,9;david sent,9;then david,9;king s,8;david had,7	the king said,27;david said to,20;king said to,17;the king s,8;children of ammon,7;house of saul,7;it happened after,7;men of israel,7;son of zeruiah,7;ark of yahweh,6	ishbosheth saul s son,4;king the king said,4;david inquired of yahweh,3;sent messengers to david,3;then said the king,3;there was again war,3;young man who told,3;absalom fled and went,2;ahithophel said to absalom,2;came into the city,
