Passage;BLEU average;ROUGE average;chrF average;METEOR average
Historia Regum Britanniae, Book 1 Chapter 13 ;5.65;28.24;42.37;33.05
Job 3: 11-13 (ESV);7.92;37.98;30.65;33.63
Job 3: 11-13 (KJV);8.76;40.11;31.14;33.74
De Legibus, Book 1 Section 40;6.52;29.35;43.46;38.08
Job 14: 1-3 (KJV);13.5;40.49;40.67;36.34
Psalm 88: 3-7 (KJV);9.48;42.23;39.36;41.17
Deuteronomy 19: 15-17 (ESV);13.59;45.49;41.15;43.15
Historia Regum Britanniae, Book 1 Chapter 6 ;15.9;41.71;49.33;36.73
Historia Regum Britanniae, Book 3 Chapter 4 ;15.24;42.37;46.88;41.01
Historia Regum Britanniae, Book 1 Chapter 2 ;13.45;40.68;51.54;41.09
Psalm 88: 3-7 (ESV);13.51;44.96;41.46;47.56
Deuteronomy 19: 15-17 (KJV);18.74;49.5;46.04;40.46
Song of Solomon 5: 12-14 (KJV);16.07;48.94;47.38;43.43
Habakkuk 3:17-19 (ESV);13.31;46.61;47.32;52.33
Isaiah 38:9-20 (KJV);23.09;50.07;48.32;42.88
Job 14: 1-3 (ESV);16.65;49.54;45.63;52.76
De Legibus, Book 1 Section 28, III;19.2;52.34;48.43;47.69
Isaiah 38:9-20 (ESV);22.33;53.22;49.7;45.36
De Legibus, Book 1 Section 15, I;17.4;56.59;44.68;56.49
De Legibus, Book 1 Section 58;19.68;47.68;53.76;54.27
Habakkuk 3:17-19 (KJV);20.87;47.13;52.27;56.23
Psalm 88: 4-8 (DRB);25.28;57.44;49.63;49.28
Exodus 1: 8-14 (KJV);24.56;51.43;55.77;50.88
Psalm 149: 5-9 (KJV);16.07;58.9;51.36;58.64
Job 3: 11-13 (DRB);25.03;56.31;45.85;58.9
De Legibus, Book 1 Section 60;29.63;54.41;52.73;50.5
Psalm 149: 5-9 (ESV);20.27;61.05;54.97;52.03
Song of Solomon 5: 12-14 (ESV);29.71;53.18;51.41;55.19
Job 14: 1-3 (DRB);30.16;57.26;50.74;53.42
Song of Solomon 5: 12-14 (DRB);24.96;58.99;52.71;56.49
De Legibus, Book 1 Section 28, II;26.11;58.11;52.38;57.56
Exodus 1: 8-14 (ESV);30.77;57.36;56.81;52.75
Habakkuk 3:17-19 (DRB);23.47;56.34;58.17;65.41
Exodus 1: 8-14 (DRB);28.21;61.29;62.38;54.09
Isaiah 38:9-20 (DRB);32.03;61.22;57.36;55.63
1 Chronicles 2: 21-23 (DRB);25.34;65.21;55.7;62.19
1 Chronicles 2: 21-23 (KJV);28.83;64.83;55.29;60.65
Psalm 149: 5-9 (DRB);25.42;68.02;58.18;59.79
Psalm 23: 4-6 (KJV);37.63;65.32;58.25;60.26
Psalm 22: 4-6 (DRB);37.22;69.08;56.35;59.79
Exodus 7: 20-24 (ESV);35.86;64.88;61.87;60.36
Deuteronomy 19: 15-17 (DRB);36.26;68.05;62.16;63.15
Exodus 7: 20-24 (KJV);38.02;71.72;63.83;64.4
1 Chronicles 2: 21-23 (ESV);39.12;70.49;65.14;69.78
Ecclesiastes 3: 7-8 (DRB);44.46;77.24;61.03;72.61
Ecclesiastes 3: 7-8 (KJV);46.58;77.1;61.58;70.94
Ecclesiastes 3: 7-8 (ESV);48.02;78.38;61.49;70.37
Psalm 23: 4-6 (ESV);48.24;76.08;66.15;71.26
Exodus 7: 20-24 (DRB);49.89;78.31;71.4;71
