Book	Chapter	Verse	Text
Psalms	1	1	Happy are those who do not follow the counsel of the wicked, not halting in ways frequented by sinners, nor taking a seat in a gathering of scoffers.
Psalms	1	2	But the law of the LORD  is their joy, they study it day and night.
Psalms	1	3	They are like trees planted by runlets of water, yielding fruit in due season, leaves never fading. In all that they do, they prosper.
Psalms	1	4	Not so fare the wicked, not so; like chaff are they, blown by the wind.
Psalms	1	5	So the wicked will not stand firm in the judgment, nor sinners appear, when the righteous are gathered.
Psalms	1	6	For the way of the righteous is dear to the LORD, but the way of the wicked will end in ruin.
Psalms	2	1	Why this turmoil of nations, this futile plotting of peoples,
Psalms	2	2	with kings of the earth conspiring, and rulers consulting together, against the LORD  and against his anointed,
Psalms	2	3	to snap their bonds and fling their cords away?
Psalms	2	4	He whose throne is in heaven laughs, the LORD  mocks them.
Psalms	2	5	Then he speaks to them in his wrath, and in his hot anger confounds them.
Psalms	2	6	“This my king is installed by me, on Zion my holy mountain.”
Psalms	2	7	I will tell of the LORD ’s decree. He said to me: “You are my son, this day I became your father.
Psalms	2	8	Only ask, and I make you the heir of the nations, and lord of the world to its utmost bounds.
Psalms	2	9	You will break them with sceptre of iron, shatter them like pottery.”
Psalms	2	10	So now, you kings, be wise: be warned, you rulers of earth.
Psalms	2	11	Serve the LORD  in awe, kiss his feet with trembling,
Psalms	2	12	lest, angry, he hurl you to ruin; for soon will his fury blaze. Happy all who take refuge in him.
Psalms	3	1	How many, LORD, are my foes! Those who rise up against me are many.
Psalms	3	2	Many are those who say of me, “There is no help for him in his God.” *Selah*
Psalms	3	3	But you, LORD, are shield about me, my glory, who lifts up my head.
Psalms	3	4	When loudly I call to the LORD, from his holy hill he gives answer. *Selah*
Psalms	3	5	I laid down and slept: now I wake, for the LORD  sustains me.
Psalms	3	6	I fear not the myriads of people who beset me on every side.
Psalms	3	7	Arise, LORD : save me, my God, who strikes all my foes on the cheek, and shatters the teeth of the wicked.
Psalms	3	8	Victory belongs to the LORD : let your blessing descend on your people. *Selah*
Psalms	4	1	Answer my cry, God, my defender. Often from straits you have brought me to spacious places. So now show me your favor and hear my prayer.
Psalms	4	2	How long, you proud people, will my honor be stained by the slanders you love, and the lies that you follow? *Selah*
Psalms	4	3	See! The LORD  has shown me his wonderful kindness: the LORD  hears, when I call to him.
Psalms	4	4	Sin not in your anger: but speak in your heart on your bed, and be still. *Selah*
Psalms	4	5	Offer true sacrifice, trust in the LORD .
Psalms	4	6	Many are longing for fortune to smile. Lift upon us the light of your face.
Psalms	4	7	You have put in my heart, LORD, a deeper joy than was theirs who had corn and wine in abundance.
Psalms	4	8	So in peace I will lie down and sleep; for you, LORD, keep me safe.
Psalms	5	1	Hear my words, LORD : give heed to my whisper.
Psalms	5	2	Attend to my loud cry for help, my king and my God.
Psalms	5	3	When I pray to you, LORD, in the morning, hear my voice. I make ready for you in the morning, and look for a sign.
Psalms	5	4	For you are no God who takes pleasure in wickedness: no one of evil can be your guest.
Psalms	5	5	No braggarts can stand in your presence, you hate all workers of wrong.
Psalms	5	6	You destroy all speakers of lies, people of blood and deceit you abhor.
Psalms	5	7	But I, through your kindness abundant, may enter your house, and towards the shrine of your temple may reverently bow.
Psalms	5	8	Lead me, LORD, in your righteousness because of my enemies. Make your way level before me.
Psalms	5	9	For their mouth is a stranger to truth, their heart is a pit of destruction. Their throat is a wide open grave, their tongue the smooth tongue of the hypocrite.
Psalms	5	10	Condemn them, God; let their schemes bring them down to the ground. For their numberless crimes thrust them down for playing the rebel against you.
Psalms	5	11	But let all who take refuge in you ring out their gladness forever. Protect those who love your name, so they may exult in you.
Psalms	5	12	For you give your blessing, LORD, to the godly, and the shield of your favor protects them.
Psalms	6	1	Rebuke me not, LORD, in your anger, punish me not in your wrath.
Psalms	6	2	LORD, be gracious to me in my weakness. Heal me LORD, for racked is my body;
Psalms	6	3	all of me utterly racked. Why do you wait so long, LORD ?
Psalms	6	4	Turn, LORD, rescue me; save me, because of your love.
Psalms	6	5	For in death none can call you to mind; in Sheol who can praise you?
Psalms	6	6	I am so weary of sighing. All the night I make my bed swim, and wet my couch with my tears.
Psalms	6	7	My eyes swollen with grief; from weeping caused by my foes.
Psalms	6	8	Begone, workers of wrong, for the LORD  has heard my loud weeping,
