Book,Version_A,Version_B,Proportion_A,Proportion_B,Effect Size (Cohen's h),Practical Significance
Colossians,DRB,KJV,0.7368421052631579,0.7473684210526316,0.02406259739970107,Negligible difference
Colossians,DRB,WEB,0.7368421052631579,0.8526315789473684,0.28932487887779557,Moderate difference
Colossians,DRB,OEB,0.7368421052631579,0.8,0.15003171415996208,Small difference
Colossians,KJV,WEB,0.7473684210526316,0.8526315789473684,0.2652622814780945,Moderate difference
Colossians,KJV,OEB,0.7473684210526316,0.8,0.125969116760261,Small difference
Colossians,WEB,OEB,0.8526315789473684,0.8,0.13929316471783348,Small difference
Ephesians,DRB,KJV,0.7806451612903226,0.7935483870967742,0.03152373251554552,Negligible difference
Ephesians,DRB,WEB,0.7806451612903226,0.8258064516129032,0.11376473787542496,Small difference
Ephesians,DRB,OEB,0.7806451612903226,0.8064516129032258,0.06378555754720905,Negligible difference
Ephesians,KJV,WEB,0.7935483870967742,0.8258064516129032,0.08224100535987944,Negligible difference
Ephesians,KJV,OEB,0.7935483870967742,0.8064516129032258,0.03226182503166353,Negligible difference
Ephesians,WEB,OEB,0.8258064516129032,0.8064516129032258,0.04997918032821591,Negligible difference
Esther,DRB,KJV,0.5309090909090909,0.5029940119760479,0.05586956284602085,Negligible difference
Esther,DRB,WEB,0.5309090909090909,0.5329341317365269,0.004058363771826556,Negligible difference
Esther,DRB,OEB,0.5309090909090909,0.47305389221556887,0.11577595947030006,Small difference
Esther,KJV,WEB,0.5029940119760479,0.5329341317365269,0.059927926617847405,Negligible difference
Esther,KJV,OEB,0.5029940119760479,0.47305389221556887,0.05990639662427921,Negligible difference
Esther,WEB,OEB,0.5329341317365269,0.47305389221556887,0.11983432324212662,Small difference
1 Corinthians,DRB,KJV,0.4851258581235698,0.47139588100686497,0.02748681587667723,Negligible difference
1 Corinthians,DRB,OEB,0.4851258581235698,0.5034324942791762,0.03661771565831207,Negligible difference
1 Corinthians,DRB,WEB,0.4851258581235698,0.5102974828375286,0.050349095030966406,Negligible difference
1 Corinthians,KJV,OEB,0.47139588100686497,0.5034324942791762,0.0641045315349893,Negligible difference
1 Corinthians,KJV,WEB,0.47139588100686497,0.5102974828375286,0.07783591090764364,Negligible difference
1 Corinthians,OEB,WEB,0.5034324942791762,0.5102974828375286,0.01373137937265434,Negligible difference
1 John,OEB,DRB,0.7142857142857143,0.7142857142857143,0.0,Negligible difference
1 John,OEB,KJV,0.7142857142857143,0.6857142857142857,0.062363852383819474,Negligible difference
1 John,OEB,WEB,0.7142857142857143,0.7142857142857143,0.0,Negligible difference
1 John,DRB,KJV,0.7142857142857143,0.6857142857142857,0.062363852383819474,Negligible difference
1 John,DRB,WEB,0.7142857142857143,0.7142857142857143,0.0,Negligible difference
1 John,KJV,WEB,0.6857142857142857,0.7142857142857143,0.062363852383819474,Negligible difference
1 Peter,KJV,OEB,0.7523809523809524,0.780952380952381,0.0675805272663279,Negligible difference
1 Peter,KJV,WEB,0.7523809523809524,0.7619047619047619,0.022210835920868366,Negligible difference
1 Peter,KJV,DRB,0.7523809523809524,0.7619047619047619,0.022210835920868366,Negligible difference
1 Peter,OEB,WEB,0.780952380952381,0.7619047619047619,0.04536969134545954,Negligible difference
1 Peter,OEB,DRB,0.780952380952381,0.7619047619047619,0.04536969134545954,Negligible difference
